,site_id,sensor_id,coef_Temp,sig_Temp,cesi_level
360,455,32187854,-0.570280116030457,True,Low
361,456,5d246142,-0.8924255382362742,True,Low
362,456,cc298d5b,-1.7724138947829569,True,Low
363,458,0ae9fd43,-0.812914572806682,True,Low
364,458,311903e8,-0.7492641065735475,True,Low
365,458,cfb28f90,-1.3790225032287986,True,Low
366,459,d31267b2,-0.9303437537830632,True,Low
367,466,ab9717b2,-1.204571681642138,True,Low
368,467,e48d767b,-0.8950877264809955,True,Low
369,467,e8fd9673,-0.6033537182115234,True,Low
370,469,56bd34f7,-1.308323155647575,True,Low
371,469,6d123b9d,-1.5331440665094602,True,Low
372,471,ff71227d,-1.438961753896402,True,Low
373,473,3a67dee6,-2.4299353873290244,True,High
